Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
25Q285,World Journalism Preparatory: A College Board Scho,N/A,1.1%,2.0%,,103.0%,163.9%,225.7%,,Exceeding Target,20.4%,51.8%,415.8%,110.0%,197.0%,285.2%,4.97,N/A,11.8%,17.7%,354.5%,71.2%,127.5%,184.6%,,N/A,4.3%,11.0%,,65.3%,116.9%,169.2%,,N/A,11.8%,17.7%,0.0%,7.3%,13.0%,18.9%,,N/A,11.8%,17.7%,0.0%,1.4%,2.5%,3.7%,,Exceeding Target,15.2%,25.0%,66.7%,11.4%,20.4%,29.5%,4.99,,,,,,,
25Q425,John Bowne High School,Meeting Target,32.1%,57.6%,183.5%,103.0%,163.9%,225.7%,3.32,Meeting Target,12.2%,31.0%,206.3%,110.0%,197.0%,285.2%,3.11,Meeting Target,31.8%,47.7%,134.5%,71.2%,127.5%,184.6%,3.12,Approaching Target,12.9%,33.1%,109.3%,65.3%,116.9%,169.2%,2.85,Exceeding Target,31.8%,47.7%,28.9%,7.3%,13.0%,18.9%,4.99,Exceeding Target,31.8%,47.7%,7.9%,1.4%,2.5%,3.7%,4.99,Meeting Target,33.1%,54.4%,24.2%,11.4%,20.4%,29.5%,3.42,,,,,,,
25Q460,Flushing High School,Approaching Target,30.8%,55.3%,128.9%,103.0%,163.9%,225.7%,2.43,Approaching Target,13.1%,33.2%,130.4%,110.0%,197.0%,285.2%,2.23,Approaching Target,39.1%,58.7%,89.8%,71.2%,127.5%,184.6%,2.33,Approaching Target,17.7%,45.4%,65.3%,65.3%,116.9%,169.2%,2.00,Exceeding Target,39.1%,58.7%,21.5%,7.3%,13.0%,18.9%,4.29,Meeting Target,39.1%,58.7%,2.9%,1.4%,2.5%,3.7%,3.33,Meeting Target,38.4%,63.2%,23.5%,11.4%,20.4%,29.5%,3.34,,,,,,,
25Q525,Townsend Harris High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,1.0%,2.5%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
25Q670,Robert F. Kennedy Community High School,Meeting Target,17.6%,31.6%,214.3%,103.0%,163.9%,225.7%,3.82,Exceeding Target,21.4%,54.3%,429.4%,110.0%,197.0%,285.2%,4.99,Exceeding Target,23.9%,35.9%,202.6%,71.2%,127.5%,184.6%,4.21,N/A,6.9%,17.7%,286.4%,65.3%,116.9%,169.2%,,Exceeding Target,23.9%,35.9%,50.0%,7.3%,13.0%,18.9%,4.99,Exceeding Target,23.9%,35.9%,23.7%,1.4%,2.5%,3.7%,4.99,Exceeding Target,20.8%,34.2%,48.4%,11.4%,20.4%,29.5%,4.99,,,,,,,
26Q315,Business Technology Early College High School,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,,,,,,,
26Q415,Benjamin N. Cardozo High School,N/A,12.1%,21.7%,223.8%,103.0%,163.9%,225.7%,,Exceeding Target,10.3%,26.1%,297.8%,110.0%,197.0%,285.2%,4.09,N/A,11.1%,16.7%,191.1%,71.2%,127.5%,184.6%,,N/A,4.4%,11.3%,163.2%,65.3%,116.9%,169.2%,,N/A,11.1%,16.7%,14.6%,7.3%,13.0%,18.9%,,N/A,11.1%,16.7%,10.4%,1.4%,2.5%,3.7%,,N/A,13.4%,22.0%,40.2%,11.4%,20.4%,29.5%,,,,,,,,
26Q430,Francis Lewis High School,Exceeding Target,20.4%,36.6%,246.7%,103.0%,163.9%,225.7%,4.22,Exceeding Target,13.3%,33.8%,404.6%,110.0%,197.0%,285.2%,4.89,N/A,13.5%,20.3%,248.2%,71.2%,127.5%,184.6%,,N/A,5.0%,12.8%,241.3%,65.3%,116.9%,169.2%,,N/A,13.5%,20.3%,21.1%,7.3%,13.0%,18.9%,,N/A,13.5%,20.3%,18.3%,1.4%,2.5%,3.7%,,Exceeding Target,16.9%,27.8%,43.4%,11.4%,20.4%,29.5%,4.99,,,,,,,
26Q435,Martin Van Buren High School,Approaching Target,19.0%,34.1%,130.3%,103.0%,163.9%,225.7%,2.45,Approaching Target,11.7%,29.7%,157.4%,110.0%,197.0%,285.2%,2.54,Approaching Target,44.4%,66.7%,120.3%,71.2%,127.5%,184.6%,2.87,Meeting Target,19.0%,48.7%,124.2%,65.3%,116.9%,169.2%,3.14,Meeting Target,44.4%,66.7%,16.9%,7.3%,13.0%,18.9%,3.66,Meeting Target,44.4%,66.7%,3.5%,1.4%,2.5%,3.7%,3.83,Approaching Target,40.2%,66.1%,20.2%,11.4%,20.4%,29.5%,2.98,,,,,,,
26Q495,Bayside High School,N/A,9.3%,16.7%,316.4%,103.0%,163.9%,225.7%,,Exceeding Target,16.0%,40.6%,352.7%,110.0%,197.0%,285.2%,4.50,N/A,14.4%,21.6%,248.0%,71.2%,127.5%,184.6%,,N/A,5.2%,13.3%,175.0%,65.3%,116.9%,169.2%,,N/A,14.4%,21.6%,69.7%,7.3%,13.0%,18.9%,,N/A,14.4%,21.6%,11.1%,1.4%,2.5%,3.7%,,N/A,13.0%,21.4%,34.5%,11.4%,20.4%,29.5%,,,,,,,,
26Q566,"Queens High School of Teaching, Liberal Arts and t",N/A,5.8%,10.4%,262.5%,103.0%,163.9%,225.7%,,Meeting Target,18.9%,48.0%,273.1%,110.0%,197.0%,285.2%,3.86,Exceeding Target,18.5%,27.8%,202.0%,71.2%,127.5%,184.6%,4.20,N/A,8.0%,20.5%,154.5%,65.3%,116.9%,169.2%,,Exceeding Target,18.5%,27.8%,41.2%,7.3%,13.0%,18.9%,4.99,Exceeding Target,18.5%,27.8%,5.9%,1.4%,2.5%,3.7%,4.99,Exceeding Target,19.9%,32.7%,51.7%,11.4%,20.4%,29.5%,4.99,,,,,,,
27Q260,Frederick Douglass Academy VI High School,N/A,8.4%,15.1%,57.1%,103.0%,163.9%,225.7%,,Not Meeting Target,10.8%,27.4%,44.4%,110.0%,197.0%,285.2%,1.40,Not Meeting Target,49.4%,74.2%,50.0%,71.2%,127.5%,184.6%,1.70,Approaching Target,25.3%,64.9%,78.6%,65.3%,116.9%,169.2%,2.26,Not Meeting Target,49.4%,74.2%,2.4%,7.3%,13.0%,18.9%,1.33,Not Meeting Target,49.4%,74.2%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,40.9%,67.3%,15.8%,11.4%,20.4%,29.5%,2.49,,,,,,,
27Q262,Channel View School for Research,N/A,4.5%,8.1%,300.0%,103.0%,163.9%,225.7%,,Exceeding Target,14.4%,36.5%,331.3%,110.0%,197.0%,285.2%,4.34,Exceeding Target,22.5%,33.8%,256.0%,71.2%,127.5%,184.6%,4.82,Exceeding Target,13.5%,34.6%,320.0%,65.3%,116.9%,169.2%,4.99,Exceeding Target,22.5%,33.8%,32.0%,7.3%,13.0%,18.9%,4.99,Exceeding Target,22.5%,33.8%,4.0%,1.4%,2.5%,3.7%,4.18,N/A,14.6%,24.0%,64.3%,11.4%,20.4%,29.5%,,,,,,,,
27Q302,"Queens High School for Information, Research, and",Approaching Target,26.5%,47.6%,109.1%,103.0%,163.9%,225.7%,2.10,Meeting Target,21.7%,55.1%,261.1%,110.0%,197.0%,285.2%,3.73,Meeting Target,57.8%,86.8%,164.6%,71.2%,127.5%,184.6%,3.65,Exceeding Target,27.7%,71.0%,191.3%,65.3%,116.9%,169.2%,4.28,Not Meeting Target,57.8%,86.8%,4.2%,7.3%,13.0%,18.9%,1.58,Approaching Target,57.8%,86.8%,2.1%,1.4%,2.5%,3.7%,2.64,Exceeding Target,49.3%,81.1%,29.7%,11.4%,20.4%,29.5%,4.01,,,,,,,
27Q308,Robert H. Goddard High School of Communication Art,N/A,4.1%,7.4%,166.7%,103.0%,163.9%,225.7%,,Exceeding Target,14.2%,36.0%,442.9%,110.0%,197.0%,285.2%,4.99,Exceeding Target,21.6%,32.4%,303.1%,71.2%,127.5%,184.6%,4.99,N/A,7.4%,19.0%,181.8%,65.3%,116.9%,169.2%,,Not Meeting Target,21.6%,32.4%,6.3%,7.3%,13.0%,18.9%,1.86,Exceeding Target,21.6%,32.4%,12.5%,1.4%,2.5%,3.7%,4.99,Exceeding Target,26.9%,44.2%,35.9%,11.4%,20.4%,29.5%,4.46,,,,,,,
27Q309,Academy of Medical Technology: A College Board Sch,N/A,8.6%,15.4%,44.4%,103.0%,163.9%,225.7%,,N/A,8.6%,21.8%,177.8%,110.0%,197.0%,285.2%,,Approaching Target,40.0%,60.1%,121.4%,71.2%,127.5%,184.6%,2.89,Meeting Target,23.8%,61.0%,168.0%,65.3%,116.9%,169.2%,3.98,Exceeding Target,40.0%,60.1%,21.4%,7.3%,13.0%,18.9%,4.28,Approaching Target,40.0%,60.1%,2.4%,1.4%,2.5%,3.7%,2.91,Meeting Target,45.8%,75.3%,24.5%,11.4%,20.4%,29.5%,3.45,,,,,,,
27Q314,Epic High School - South,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,,,,,,,
27Q323,Scholars' Academy,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
27Q324,Rockaway Park High School for Environmental Sustai,N/A,13.2%,23.7%,91.7%,103.0%,163.9%,225.7%,,Meeting Target,20.9%,53.0%,210.5%,110.0%,197.0%,285.2%,3.15,Approaching Target,41.8%,62.8%,102.6%,71.2%,127.5%,184.6%,2.56,Not Meeting Target,20.9%,53.6%,57.9%,65.3%,116.9%,169.2%,1.89,Not Meeting Target,41.8%,62.8%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,41.8%,62.8%,0.0%,1.4%,2.5%,3.7%,1.00,Not Meeting Target,42.9%,70.6%,11.1%,11.4%,20.4%,29.5%,1.97,,,,,,,
27Q334,Epic High School - North,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,,,,,,,
27Q351,Rockaway Collegiate High School,N/A,8.1%,14.5%,125.0%,103.0%,163.9%,225.7%,,Approaching Target,21.2%,53.8%,138.1%,110.0%,197.0%,285.2%,2.32,Approaching Target,42.4%,63.7%,92.9%,71.2%,127.5%,184.6%,2.39,Approaching Target,23.2%,59.5%,113.0%,65.3%,116.9%,169.2%,2.92,Not Meeting Target,42.4%,63.7%,2.4%,7.3%,13.0%,18.9%,1.33,Not Meeting Target,42.4%,63.7%,0.0%,1.4%,2.5%,3.7%,1.00,N/A,60.0%,98.7%,,11.4%,20.4%,29.5%,,,,,,,,
27Q400,August Martin High School,N/A,9.0%,16.2%,73.3%,103.0%,163.9%,225.7%,,Not Meeting Target,25.7%,65.2%,37.2%,110.0%,197.0%,285.2%,1.34,Not Meeting Target,52.1%,78.2%,42.5%,71.2%,127.5%,184.6%,1.60,Not Meeting Target,29.3%,75.1%,32.7%,65.3%,116.9%,169.2%,1.50,Not Meeting Target,52.1%,78.2%,1.1%,7.3%,13.0%,18.9%,1.15,Not Meeting Target,52.1%,78.2%,1.1%,1.4%,2.5%,3.7%,1.79,Approaching Target,55.6%,91.4%,16.5%,11.4%,20.4%,29.5%,2.57,,,,,,,
27Q475,Richmond Hill High School,Approaching Target,29.4%,52.8%,125.7%,103.0%,163.9%,225.7%,2.37,Approaching Target,16.4%,41.6%,196.8%,110.0%,197.0%,285.2%,2.99,Approaching Target,43.1%,64.7%,122.7%,71.2%,127.5%,184.6%,2.91,Approaching Target,16.5%,42.3%,111.7%,65.3%,116.9%,169.2%,2.90,Not Meeting Target,43.1%,64.7%,6.1%,7.3%,13.0%,18.9%,1.84,Meeting Target,43.1%,64.7%,3.3%,1.4%,2.5%,3.7%,3.67,Approaching Target,42.6%,70.1%,19.3%,11.4%,20.4%,29.5%,2.88,,,,,,,
27Q480,John Adams High School,Approaching Target,21.9%,39.3%,162.4%,103.0%,163.9%,225.7%,2.98,Approaching Target,12.7%,32.2%,163.0%,110.0%,197.0%,285.2%,2.61,Approaching Target,44.2%,66.4%,115.5%,71.2%,127.5%,184.6%,2.79,Approaching Target,17.5%,44.9%,101.8%,65.3%,116.9%,169.2%,2.71,Meeting Target,44.2%,66.4%,14.9%,7.3%,13.0%,18.9%,3.32,Exceeding Target,44.2%,66.4%,4.0%,1.4%,2.5%,3.7%,4.18,Approaching Target,46.1%,75.8%,19.6%,11.4%,20.4%,29.5%,2.91,,,,,,,
27Q650,"High School for Construction Trades, Engineering a",N/A,0.9%,1.6%,,103.0%,163.9%,225.7%,,N/A,9.5%,24.1%,488.6%,110.0%,197.0%,285.2%,,N/A,7.3%,11.0%,208.8%,71.2%,127.5%,184.6%,,N/A,4.3%,11.0%,230.0%,65.3%,116.9%,169.2%,,N/A,7.3%,11.0%,23.5%,7.3%,13.0%,18.9%,,N/A,7.3%,11.0%,5.9%,1.4%,2.5%,3.7%,,N/A,6.4%,10.5%,33.3%,11.4%,20.4%,29.5%,,,,,,,,
28Q157,J.H.S. 157 Stephen A. Halsey,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,100.0%,100.0%,,11.4%,20.4%,29.5%,,,,,,,,
28Q167,Metropolitan Expeditionary Learning School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
28Q284,York Early College Academy,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,Exceeding Target,10.0%,25.4%,378.6%,110.0%,197.0%,285.2%,4.69,Exceeding Target,17.1%,25.7%,220.8%,71.2%,127.5%,184.6%,4.42,Exceeding Target,10.0%,25.6%,257.1%,65.3%,116.9%,169.2%,4.99,Exceeding Target,17.1%,25.7%,75.0%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,17.1%,25.7%,0.0%,1.4%,2.5%,3.7%,1.00,N/A,5.7%,9.4%,,11.4%,20.4%,29.5%,,,,,,,,
28Q310,Queens Collegiate: A College Board School,N/A,9.7%,17.4%,110.0%,103.0%,163.9%,225.7%,,N/A,8.7%,22.1%,377.8%,110.0%,197.0%,285.2%,,Meeting Target,24.3%,36.5%,154.0%,71.2%,127.5%,184.6%,3.46,Exceeding Target,12.6%,32.3%,184.6%,65.3%,116.9%,169.2%,4.19,Exceeding Target,24.3%,36.5%,28.0%,7.3%,13.0%,18.9%,4.99,Exceeding Target,24.3%,36.5%,8.0%,1.4%,2.5%,3.7%,4.99,Exceeding Target,34.6%,56.9%,43.2%,11.4%,20.4%,29.5%,4.99,,,,,,,
28Q325,Hillside Arts & Letters Academy,Exceeding Target,20.2%,36.3%,252.5%,103.0%,163.9%,225.7%,4.28,N/A,9.1%,23.1%,377.8%,110.0%,197.0%,285.2%,,Exceeding Target,35.4%,53.2%,238.6%,71.2%,127.5%,184.6%,4.62,N/A,6.1%,15.6%,166.7%,65.3%,116.9%,169.2%,,Meeting Target,35.4%,53.2%,14.3%,7.3%,13.0%,18.9%,3.22,Exceeding Target,35.4%,53.2%,20.0%,1.4%,2.5%,3.7%,4.99,Exceeding Target,35.9%,59.0%,33.3%,11.4%,20.4%,29.5%,4.27,,,,,,,
28Q328,High School for Community Leadership,Exceeding Target,33.7%,60.5%,294.6%,103.0%,163.9%,225.7%,4.73,N/A,9.6%,24.4%,325.0%,110.0%,197.0%,285.2%,,Exceeding Target,25.3%,38.0%,261.9%,71.2%,127.5%,184.6%,4.89,Exceeding Target,15.7%,40.3%,307.7%,65.3%,116.9%,169.2%,4.99,Exceeding Target,25.3%,38.0%,33.3%,7.3%,13.0%,18.9%,4.99,Exceeding Target,25.3%,38.0%,23.8%,1.4%,2.5%,3.7%,4.99,Exceeding Target,28.8%,47.4%,38.1%,11.4%,20.4%,29.5%,4.62,,,,,,,
28Q350,Jamaica Gateway to the Sciences,N/A,10.7%,19.2%,150.0%,103.0%,163.9%,225.7%,,N/A,9.2%,23.4%,420.8%,110.0%,197.0%,285.2%,,Exceeding Target,17.6%,26.4%,202.2%,71.2%,127.5%,184.6%,4.20,N/A,6.9%,17.7%,116.7%,65.3%,116.9%,169.2%,,Exceeding Target,17.6%,26.4%,26.1%,7.3%,13.0%,18.9%,4.81,Exceeding Target,17.6%,26.4%,21.7%,1.4%,2.5%,3.7%,4.99,N/A,18.2%,29.9%,,11.4%,20.4%,29.5%,,,,,,,,
28Q440,Forest Hills High School,Exceeding Target,15.4%,27.6%,248.3%,103.0%,163.9%,225.7%,4.24,Exceeding Target,13.1%,33.2%,382.0%,110.0%,197.0%,285.2%,4.72,Exceeding Target,18.4%,27.6%,252.5%,71.2%,127.5%,184.6%,4.78,N/A,6.4%,16.4%,261.3%,65.3%,116.9%,169.2%,,Exceeding Target,18.4%,27.6%,22.3%,7.3%,13.0%,18.9%,4.38,Exceeding Target,18.4%,27.6%,9.5%,1.4%,2.5%,3.7%,4.99,Exceeding Target,16.9%,27.8%,40.9%,11.4%,20.4%,29.5%,4.82,,,,,,,
28Q505,Hillcrest High School,Approaching Target,22.5%,40.4%,161.0%,103.0%,163.9%,225.7%,2.95,Meeting Target,11.9%,30.2%,204.9%,110.0%,197.0%,285.2%,3.09,Meeting Target,30.7%,46.1%,157.9%,71.2%,127.5%,184.6%,3.53,Meeting Target,10.7%,27.4%,123.8%,65.3%,116.9%,169.2%,3.13,Exceeding Target,30.7%,46.1%,29.8%,7.3%,13.0%,18.9%,4.99,Exceeding Target,30.7%,46.1%,7.2%,1.4%,2.5%,3.7%,4.99,Exceeding Target,35.1%,57.7%,41.5%,11.4%,20.4%,29.5%,4.86,,,,,,,
28Q620,Thomas A. Edison Career and Technical Education Hi,N/A,4.5%,8.1%,228.3%,103.0%,163.9%,225.7%,,Exceeding Target,11.2%,28.4%,312.3%,110.0%,197.0%,285.2%,4.20,N/A,13.1%,19.7%,179.9%,71.2%,127.5%,184.6%,,N/A,8.0%,20.5%,142.7%,65.3%,116.9%,169.2%,,N/A,13.1%,19.7%,43.3%,7.3%,13.0%,18.9%,,N/A,13.1%,19.7%,1.5%,1.4%,2.5%,3.7%,,N/A,14.5%,23.8%,31.6%,11.4%,20.4%,29.5%,,,,,,,,
28Q680,Queens Gateway to Health Sciences Secondary School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,1.6%,2.6%,,11.4%,20.4%,29.5%,,,,,,,,
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,N/A,8.9%,16.0%,389.1%,103.0%,163.9%,225.7%,,Exceeding Target,16.3%,41.4%,527.4%,110.0%,197.0%,285.2%,4.99,Exceeding Target,19.0%,28.5%,359.2%,71.2%,127.5%,184.6%,4.99,N/A,6.2%,15.9%,343.8%,65.3%,116.9%,169.2%,,Exceeding Target,19.0%,28.5%,26.5%,7.3%,13.0%,18.9%,4.85,Exceeding Target,19.0%,28.5%,8.2%,1.4%,2.5%,3.7%,4.99,Exceeding Target,20.8%,34.2%,49.3%,11.4%,20.4%,29.5%,4.99,,,,,,,
28Q687,Queens High School for the Sciences at York Colleg,N/A,1.0%,1.8%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,1.0%,1.5%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,1.0%,1.5%,,7.3%,13.0%,18.9%,,N/A,1.0%,1.5%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
28Q690,High School for Law Enforcement and Public Safety,N/A,2.9%,5.2%,,103.0%,163.9%,225.7%,,Meeting Target,21.3%,54.1%,231.0%,110.0%,197.0%,285.2%,3.39,Meeting Target,31.6%,47.4%,181.4%,71.2%,127.5%,184.6%,3.94,Exceeding Target,18.4%,47.2%,216.0%,65.3%,116.9%,169.2%,4.59,Not Meeting Target,31.6%,47.4%,4.7%,7.3%,13.0%,18.9%,1.64,Not Meeting Target,31.6%,47.4%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,33.3%,54.8%,33.3%,11.4%,20.4%,29.5%,4.27,,,,,,,
28Q896,"Young Women's Leadership School, Queens",N/A,9.6%,17.2%,171.4%,103.0%,163.9%,225.7%,,Exceeding Target,15.1%,38.3%,290.9%,110.0%,197.0%,285.2%,4.04,Exceeding Target,23.3%,35.0%,194.1%,71.2%,127.5%,184.6%,4.11,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,Not Meeting Target,23.3%,35.0%,0.0%,7.3%,13.0%,18.9%,1.00,Not Meeting Target,23.3%,35.0%,0.0%,1.4%,2.5%,3.7%,1.00,Exceeding Target,17.9%,29.4%,33.3%,11.4%,20.4%,29.5%,4.27,,,,,,,
29Q243,Institute for Health Professions at Cambria Height,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
