Additional Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,Average Score Regents Algebra,Percentage Passing Regents Algebra,Percentage at college ready threshold Regents Algebra,Average Score Regents Geometry,Percentage Passing Regents Geometry,Percentage at college ready threshold Regents Geometry,Average Score Regents Algebra 2/Trig,Percentage Passing Regents Algebra 2/Trig,Percentage at college ready threshold Regents Algebra 2/Trig,Average Score Regents English,Percentage Passing Regents English,Percentage at college ready threshold Regents English,Average Score Regents US History,Percentage Passing Regents US History,Average Score Regents Global History,Percentage Passing Regents Global History,Average Score Regents Chemistry,Percentage Passing Regents Chemistry,Average Score Regents Physics,Percentage Passing Regents Physics,Average Score Regents Earth Science,Percentage Passing Regents Earth Science,Average Score Regents Living Environment,Percentage Passing Regents Living Environment,Average Score Regents Languages Other Than English,Percentage Passing Regents Languages Other Than English,Average Score SAT Math,Percentage of 4-year Cohort Taking SAT Math,Percentage College Ready SAT Math,Average Score SAT Critical Reading,Percentage of 4-year Cohort Taking SAT Critical Reading,Percentage College Ready SAT Critical Reading,Average Score SAT Writing,Percentage of 4-year Cohort Taking SAT Writing,Average Score ACT Math,Percentage of 4-year Cohort Taking ACT Math,Percentage College Ready ACT Math,Average Score ACT English,Percentage of 4-year Cohort Taking ACT English,Percentage College Ready ACT English,Average Score ACT Reading,Percentage of 4-year Cohort Taking ACT Reading,Average Score ACT Science,Percentage of 4-year Cohort Taking ACT Science,Average Score CUNY Math 1,Percentage of 4-year Cohort Taking CUNY Math 1,Average Score CUNY Math 2,Percentage of 4-year Cohort Taking CUNY Math 2,Percentage College Ready CUNY Math 2,Average Score CUNY Reading,Percentage of 4-year Cohort Taking CUNY Reading,Percentage College Ready CUNY Reading,Average Score CUNY Writing,Percentage of 4-year Cohort Taking CUNY Writing,Percentage College Ready CUNY Writing,Post-secondary Enrollment Rate (6 months),Post-secondary Enrollment Rate (18 months),CUNY 2-Year (6 months),CUNY 2-Year (18 months),CUNY 4-Year (6 months),CUNY 4-Year (18 months),NYS Public (6 months),NYS Public (18 months),NYS Private (6 months),NYS Private (18 months),Out of State (6 months),Out of State (18 months),Public Service (6 months),Public Service (18 months),Vocational Program (6 months),Vocational Program (18 months),CRI (Percentage of 4 year Cohort),CRI (Percentage of 6 year Cohort),Percentage Attaining Regents Diploma (4 year),Percentage Attaining Regents Diploma (6 year),Percentage Attaining Math College Readiness Standard,Percentage Attaining Math College Readiness Standard (6 year),Percentage Attaining English College Readiness Standard,Percentage Attaining English College Readiness Standard (6 year),College and Career Preparatory Course Index,"Percentage Scoring 65+ on Alg2, MathB, Chem, or Phys Regents Exam",Percentage Scoring 3+ on any AP Exam,Percentage Scoring 4+ on any IB Exam,Percentage Earning a Diploma with a CTE Endorsement,Percentage Passing an Industry-Recognized Technical Assessment,Percentage Earning a Diploma with an Arts Endorsement,Percentage Earning a Grade of 'C' or Higher for College Credit,Percentage Passing a CPCC Course
25Q670,Robert F. Kennedy Community High School,71,80.8%,14.0%,78,93.4%,36.8%,61,44.9%,15.4%,76,88.3%,60.1%,75,80.5%,68,64.4%,63,43.9%,,,64,52.6%,67,59.9%,88,97.8%,460,67.3%,100.0%,426,67.3%,100.0%,423,67.3%,19,26.4%,100.0%,15,26.4%,100.0%,17,23.9%,18,26.4%,37,21.4%,38,39.0%,100.0%,66,22.6%,100.0%,53,21.4%,100.0%,76.5%,75.4%,31.5%,43.6%,28.2%,13.4%,10.7%,10.1%,2.7%,5.6%,2.0%,2.8%,0.0%,0.0%,0.0%,0.0%,47.2%,49.2%,76.7%,83.2%,49.1%,50.3%,73.0%,82.7%,66.7%,44.0%,20.8%,0.0%,0.0%,0.6%,0.0%,58.5%,0.0%
26Q315,Business Technology Early College High School,62,54.1%,1.2%,73,79.2%,16.7%,,,,,,,77,78.8%,,,,,47,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26Q415,Benjamin N. Cardozo High School,66,64.4%,7.1%,79,89.4%,50.4%,67,57.6%,27.7%,81,89.8%,74.6%,84,92.3%,75,78.1%,72,72.6%,72,72.0%,59,42.7%,75,79.7%,91,99.6%,563,75.6%,100.0%,505,75.6%,100.0%,510,75.6%,25,22.1%,100.0%,22,22.1%,100.0%,24,18.6%,23,22.1%,36,10.9%,39,18.7%,100.0%,74,12.6%,100.0%,55,12.6%,100.0%,76.9%,83.9%,13.2%,18.9%,23.0%,22.8%,18.7%,18.3%,13.0%,13.3%,6.3%,8.7%,0.0%,0.0%,0.0%,0.0%,63.5%,58.1%,88.2%,87.0%,69.2%,62.1%,78.5%,78.0%,67.1%,58.6%,30.3%,0.0%,0.0%,0.5%,0.0%,18.0%,0.1%
26Q430,Francis Lewis High School,74,84.1%,28.1%,83,94.4%,60.4%,78,78.8%,54.3%,82,91.0%,77.8%,83,90.2%,77,80.0%,78,91.2%,79,88.9%,69,69.5%,81,87.8%,88,96.5%,562,80.7%,100.0%,483,80.7%,100.0%,485,80.7%,25,17.3%,100.0%,22,17.3%,100.0%,22,15.5%,23,17.3%,35,8.1%,42,16.6%,100.0%,65,10.3%,100.0%,47,10.4%,100.0%,74.8%,81.1%,18.0%,21.2%,29.6%,28.3%,11.0%,14.8%,11.0%,12.2%,3.9%,3.7%,0.0%,0.0%,0.0%,0.0%,71.4%,63.5%,84.6%,83.7%,76.3%,69.9%,82.2%,76.3%,73.0%,65.4%,35.7%,0.0%,0.0%,0.3%,0.0%,41.0%,0.0%
26Q435,Martin Van Buren High School,64,54.1%,4.8%,59,42.0%,4.9%,50,21.0%,6.5%,70,73.4%,41.6%,66,61.3%,59,42.8%,72,78.9%,71,77.4%,53,24.0%,65,57.1%,88,97.6%,397,40.0%,100.0%,396,40.0%,100.0%,391,40.0%,18,9.0%,100.0%,15,9.0%,100.0%,18,9.0%,18,9.0%,34,24.6%,29,30.4%,100.0%,68,17.5%,100.0%,51,17.5%,100.0%,41.9%,53.1%,16.7%,19.7%,11.6%,11.0%,5.1%,7.4%,3.2%,6.6%,1.6%,3.6%,0.0%,0.0%,0.0%,1.1%,13.5%,13.2%,51.9%,57.3%,15.4%,14.7%,38.8%,38.9%,26.0%,11.3%,2.7%,0.0%,0.0%,0.2%,0.0%,21.7%,0.0%
26Q495,Bayside High School,70,76.7%,12.7%,75,82.0%,38.1%,63,51.1%,20.7%,74,81.1%,60.6%,79,86.3%,71,69.7%,65,55.0%,64,53.3%,56,40.7%,76,83.2%,83,88.8%,523,76.7%,100.0%,479,76.7%,100.0%,485,76.7%,24,10.6%,100.0%,22,10.6%,100.0%,23,8.7%,23,10.6%,40,16.1%,29,20.3%,100.0%,67,7.8%,100.0%,50,8.1%,100.0%,77.1%,86.3%,22.9%,19.7%,23.1%,28.5%,14.2%,18.6%,11.7%,11.2%,3.7%,6.8%,0.0%,0.0%,0.0%,0.0%,58.1%,65.3%,84.9%,90.3%,61.0%,66.3%,80.7%,87.1%,89.7%,48.4%,24.1%,0.0%,1.9%,4.2%,0.0%,85.0%,15.3%
26Q566,"Queens High School of Teaching, Liberal Arts and t",64,58.3%,4.6%,65,55.4%,11.9%,62,44.8%,18.4%,75,83.9%,59.0%,80,87.8%,69,64.3%,68,71.4%,,,65,57.3%,73,78.4%,90,100.0%,453,72.4%,100.0%,434,72.4%,100.0%,439,72.4%,20,16.7%,100.0%,18,16.7%,100.0%,19,9.1%,20,16.7%,38,32.7%,30,41.1%,100.0%,73,22.9%,100.0%,55,23.3%,100.0%,78.4%,82.1%,29.9%,27.4%,20.6%,14.9%,17.2%,20.3%,6.2%,11.8%,3.8%,7.4%,0.0%,0.0%,0.0%,0.0%,34.2%,29.4%,78.2%,82.8%,37.8%,31.8%,65.1%,70.6%,56.0%,21.8%,3.6%,0.0%,0.0%,0.0%,0.0%,50.2%,0.0%
27Q260,Frederick Douglass Academy VI High School,60,34.3%,4.3%,,,,35,6.7%,0.0%,69,75.0%,42.0%,66,59.4%,55,31.5%,,,,,,,62,44.2%,,,410,30.1%,100.0%,418,30.1%,100.0%,407,30.1%,,1.2%,0.0%,,1.2%,0.0%,,1.2%,,1.2%,,13.3%,34,20.5%,100.0%,,9.6%,100.0%,,9.6%,100.0%,32.3%,50.0%,14.0%,11.3%,10.8%,19.8%,3.2%,7.5%,1.1%,0.9%,1.1%,6.6%,0.0%,0.0%,0.0%,0.0%,8.4%,13.2%,44.6%,56.6%,10.8%,11.3%,39.8%,44.3%,3.6%,1.2%,0.0%,0.0%,0.0%,2.4%,0.0%,0.0%,0.0%
27Q262,Channel View School for Research,72,82.7%,21.1%,65,62.7%,13.4%,57,39.4%,12.1%,80,88.4%,73.5%,76,84.7%,71,74.0%,,,,,64,58.6%,70,73.0%,89,100.0%,427,76.6%,100.0%,430,76.6%,100.0%,423,76.6%,,10.8%,100.0%,,10.8%,100.0%,,10.8%,,10.8%,39,36.0%,28,42.3%,100.0%,72,24.3%,100.0%,53,24.3%,100.0%,71.9%,74.2%,20.8%,26.9%,22.9%,9.7%,16.7%,23.7%,4.2%,7.5%,4.2%,2.2%,0.0%,0.0%,0.0%,0.0%,27.9%,25.8%,79.3%,87.1%,27.9%,26.9%,61.3%,66.7%,50.5%,12.6%,10.8%,0.0%,0.0%,1.8%,0.0%,49.5%,0.0%
27Q302,"Queens High School for Information, Research, and",57,27.5%,1.4%,44,8.3%,0.0%,40,0.0%,0.0%,53,38.2%,11.4%,62,47.3%,52,30.9%,64,47.6%,,,,,54,25.8%,92,100.0%,372,44.6%,100.0%,362,44.6%,100.0%,352,44.6%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,15.7%,,15.7%,0.0%,,12.0%,100.0%,,12.0%,100.0%,40.0%,35.8%,13.3%,11.6%,12.0%,11.6%,4.0%,6.3%,5.3%,6.3%,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%,7.2%,7.4%,50.6%,54.7%,7.2%,7.4%,28.9%,33.7%,10.8%,4.8%,0.0%,0.0%,0.0%,1.2%,0.0%,10.8%,0.0%
27Q308,Robert H. Goddard High School of Communication Art,69,82.2%,7.9%,67,67.1%,19.2%,56,32.0%,4.0%,79,87.5%,74.4%,82,91.6%,70,67.2%,65,53.1%,68,66.7%,70,67.4%,71,71.3%,85,95.2%,426,85.1%,100.0%,435,85.1%,100.0%,424,85.1%,,9.5%,100.0%,,9.5%,100.0%,,8.8%,,9.5%,37,39.9%,27,45.3%,100.0%,64,13.5%,100.0%,52,13.5%,100.0%,67.6%,79.1%,32.4%,31.3%,18.6%,29.1%,4.1%,4.5%,11.0%,11.9%,1.4%,1.5%,0.0%,0.0%,0.0%,0.0%,40.5%,30.6%,86.5%,87.3%,41.9%,34.3%,76.4%,71.6%,31.8%,27.0%,16.2%,0.0%,0.0%,0.0%,0.0%,0.7%,0.0%
27Q309,Academy of Medical Technology: A College Board Sch,68,65.9%,12.7%,62,53.3%,16.7%,,,,68,71.9%,35.4%,67,65.7%,65,61.6%,57,25.0%,,,59,33.8%,65,56.6%,88,98.0%,422,67.6%,100.0%,424,67.6%,100.0%,415,67.6%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,43,22.9%,30,26.7%,100.0%,,13.3%,100.0%,,13.3%,100.0%,52.3%,60.6%,6.5%,7.6%,28.0%,19.7%,7.5%,12.1%,8.4%,13.6%,0.9%,6.1%,0.0%,0.0%,0.0%,0.0%,20.0%,30.3%,62.9%,68.2%,22.9%,34.8%,53.3%,68.2%,41.9%,14.3%,4.8%,0.0%,0.0%,0.0%,0.0%,41.0%,0.0%
27Q314,Epic High School - South,67,65.0%,7.5%,,,,,,,,,,72,70.2%,,,,,,,,,71,78.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27Q323,Scholars' Academy,86,100.0%,92.7%,88,100.0%,86.8%,83,91.7%,66.7%,91,100.0%,97.8%,89,98.7%,92,100.0%,81,96.9%,77,84.1%,,,,,93,98.5%,588,99.2%,100.0%,560,99.2%,100.0%,568,99.2%,25,39.8%,100.0%,24,39.8%,100.0%,25,29.7%,25,39.8%,,0.0%,,0.8%,100.0%,,0.8%,100.0%,,0.8%,100.0%,90.6%,99.0%,0.0%,2.1%,33.0%,22.9%,20.8%,22.9%,27.4%,33.3%,9.4%,17.7%,0.0%,0.0%,0.0%,0.0%,97.5%,96.9%,99.2%,100.0%,97.5%,96.9%,99.2%,100.0%,98.3%,97.5%,57.6%,0.0%,0.0%,0.0%,0.0%,79.7%,0.0%
27Q324,Rockaway Park High School for Environmental Sustai,63,51.3%,2.5%,64,54.5%,9.1%,,,,76,87.1%,62.4%,71,72.5%,62,51.4%,,,,,66,61.5%,72,75.7%,,,357,38.5%,0.0%,381,38.5%,100.0%,376,38.5%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,14.3%,22,16.5%,100.0%,,11.0%,100.0%,,11.0%,100.0%,27.6%,,7.6%,,6.7%,,6.7%,,2.9%,,3.8%,,0.0%,,0.0%,,2.2%,,45.1%,,4.4%,,41.8%,,3.3%,1.1%,2.2%,0.0%,0.0%,0.0%,0.0%,1.1%,0.0%
27Q334,Epic High School - North,54,15.5%,0.0%,56,13.3%,0.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27Q351,Rockaway Collegiate High School,61,41.1%,3.3%,52,19.5%,0.8%,,,,67,72.4%,29.6%,63,57.1%,64,51.7%,40,0.0%,,,55,34.6%,63,45.4%,,,399,46.5%,100.0%,403,46.5%,100.0%,405,46.5%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,,11.1%,33,15.2%,100.0%,,9.1%,100.0%,,9.1%,100.0%,,,,,,,,,,,,,,,,,14.1%,,47.5%,,14.1%,,38.4%,,24.2%,14.1%,2.0%,0.0%,0.0%,0.0%,0.0%,20.2%,0.0%
27Q400,August Martin High School,55,22.5%,1.0%,50,16.0%,1.1%,,,,66,64.2%,39.9%,61,45.2%,58,40.3%,,,,,44,4.0%,62,43.5%,,,366,26.3%,0.0%,372,26.3%,100.0%,364,26.3%,,3.0%,0.0%,,3.0%,100.0%,,1.8%,,3.0%,,6.6%,,8.4%,100.0%,,4.8%,100.0%,,4.8%,100.0%,23.6%,34.7%,7.6%,10.0%,3.6%,5.7%,4.8%,7.7%,5.6%,5.0%,0.8%,2.7%,0.0%,0.3%,0.0%,1.3%,2.4%,8.0%,22.2%,50.7%,2.4%,9.0%,22.2%,36.7%,0.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,0.0%
27Q475,Richmond Hill High School,65,60.2%,6.3%,66,59.4%,12.4%,45,16.7%,7.4%,68,70.2%,42.2%,63,51.0%,65,57.8%,69,71.4%,,,58,32.6%,65,56.0%,88,95.8%,413,37.9%,100.0%,406,37.9%,100.0%,399,37.9%,,0.7%,100.0%,,0.7%,100.0%,,0.5%,,0.7%,34,20.6%,33,28.9%,100.0%,70,16.0%,100.0%,53,16.0%,100.0%,35.9%,48.4%,15.0%,19.4%,13.7%,20.1%,3.4%,2.1%,1.7%,2.4%,0.7%,1.0%,0.0%,0.0%,0.0%,0.0%,16.2%,16.8%,51.9%,64.3%,19.0%,18.4%,39.6%,45.5%,17.3%,7.7%,8.1%,0.0%,0.0%,1.2%,0.0%,9.9%,0.0%
27Q480,John Adams High School,65,54.9%,10.7%,64,50.6%,11.7%,60,42.3%,12.7%,68,71.1%,40.9%,70,70.1%,64,52.1%,67,53.9%,61,44.7%,59,39.9%,62,49.3%,90,98.1%,418,38.4%,100.0%,401,38.4%,100.0%,395,38.4%,20,3.5%,100.0%,16,3.5%,100.0%,18,3.5%,18,3.5%,35,18.4%,30,24.0%,100.0%,63,9.6%,100.0%,50,9.8%,100.0%,35.9%,43.9%,13.5%,17.5%,13.9%,17.4%,1.7%,3.6%,2.9%,1.5%,1.3%,1.6%,0.0%,0.1%,0.0%,0.0%,20.2%,14.8%,58.2%,58.4%,21.9%,16.6%,47.8%,47.6%,31.9%,12.7%,2.4%,0.0%,0.0%,0.4%,0.0%,29.8%,0.0%
27Q650,"High School for Construction Trades, Engineering a",71,81.4%,17.5%,73,77.7%,33.5%,63,48.8%,19.7%,85,96.6%,84.7%,84,94.5%,77,84.4%,69,63.6%,64,54.0%,75,77.7%,79,92.6%,87,94.3%,489,78.9%,100.0%,457,78.9%,100.0%,451,78.9%,20,7.8%,100.0%,18,7.8%,100.0%,,6.0%,19,7.8%,42,12.9%,38,24.6%,100.0%,,4.3%,100.0%,,4.3%,100.0%,77.5%,82.1%,16.9%,20.1%,39.8%,42.0%,9.3%,9.8%,8.1%,6.7%,1.7%,2.7%,0.0%,0.0%,0.0%,0.0%,67.7%,69.2%,93.1%,96.9%,69.4%,52.2%,90.1%,87.9%,79.3%,53.0%,9.1%,0.0%,60.3%,63.4%,0.0%,40.5%,0.4%
28Q157,J.H.S. 157 Stephen A. Halsey,67,77.4%,0.0%,,,,,,,,,,,,,,,,,,,,78,96.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28Q167,Metropolitan Expeditionary Learning School,65,56.3%,11.9%,69,71.8%,15.5%,58,35.6%,8.9%,86,95.7%,86.1%,,,78,89.5%,62,44.8%,,,65,52.7%,71,75.9%,86,97.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28Q284,York Early College Academy,76,92.0%,35.2%,77,94.8%,37.7%,77,85.0%,43.3%,85,100.0%,95.3%,85,91.7%,81,92.2%,77,92.7%,,,78,92.2%,81,93.3%,90,100.0%,496,92.9%,100.0%,481,92.9%,100.0%,473,92.9%,,8.6%,100.0%,,8.6%,100.0%,,7.1%,,8.6%,,4.3%,,5.7%,100.0%,,4.3%,100.0%,,4.3%,100.0%,91.4%,94.4%,1.4%,4.2%,78.6%,68.1%,5.7%,6.9%,1.4%,0.0%,1.4%,4.2%,0.0%,0.0%,0.0%,0.0%,71.4%,43.1%,94.3%,98.6%,72.9%,36.1%,90.0%,91.7%,95.7%,65.7%,0.0%,0.0%,0.0%,0.0%,0.0%,95.7%,0.0%
28Q310,Queens Collegiate: A College Board School,64,58.2%,2.0%,65,58.4%,10.1%,50,28.2%,12.8%,75,85.5%,58.1%,72,77.8%,70,68.8%,66,56.8%,,,68,69.1%,67,62.9%,83,90.0%,455,74.8%,100.0%,439,74.8%,100.0%,441,74.8%,,7.8%,100.0%,,7.8%,100.0%,,5.8%,,7.8%,31,14.6%,35,24.3%,100.0%,75,16.5%,100.0%,55,17.5%,100.0%,68.2%,74.8%,26.2%,30.1%,19.6%,22.3%,10.3%,10.7%,8.4%,5.8%,3.7%,4.9%,0.0%,0.0%,0.0%,0.0%,45.6%,38.8%,76.7%,81.6%,48.5%,39.8%,68.9%,65.0%,50.5%,29.1%,13.6%,0.0%,0.0%,1.0%,0.0%,39.8%,0.0%
28Q325,Hillside Arts & Letters Academy,66,66.9%,4.1%,71,75.0%,23.6%,55,33.3%,10.3%,77,88.0%,66.9%,75,79.4%,62,46.3%,,,,,64,50.6%,68,63.9%,90,100.0%,409,62.6%,100.0%,399,62.6%,100.0%,404,62.6%,,11.1%,100.0%,,11.1%,100.0%,,10.1%,,11.1%,33,33.3%,30,43.4%,100.0%,70,26.3%,100.0%,55,26.3%,100.0%,64.1%,,29.3%,,18.5%,,5.4%,,5.4%,,3.3%,,0.0%,,0.0%,,28.3%,,79.8%,,31.3%,,58.6%,,18.2%,11.1%,5.1%,0.0%,0.0%,0.0%,0.0%,13.1%,0.0%
28Q328,High School for Community Leadership,68,84.0%,6.1%,67,61.6%,25.3%,69,68.0%,24.0%,80,96.7%,76.1%,77,88.8%,79,97.4%,71,84.8%,78,84.2%,,,79,91.2%,90,100.0%,415,72.3%,100.0%,392,72.3%,100.0%,386,72.3%,,0.0%,0.0%,,0.0%,0.0%,,0.0%,,0.0%,34,27.7%,34,39.8%,100.0%,67,18.1%,100.0%,51,18.1%,100.0%,54.8%,,17.8%,,21.9%,,4.1%,,8.2%,,1.4%,,0.0%,,0.0%,,31.3%,,84.3%,,30.1%,,60.2%,,43.4%,38.6%,3.6%,0.0%,0.0%,0.0%,0.0%,1.2%,0.0%
28Q350,Jamaica Gateway to the Sciences,69,73.1%,13.0%,70,65.8%,25.0%,64,51.4%,20.3%,81,89.4%,71.2%,80,85.5%,69,68.2%,69,62.7%,64,54.2%,68,67.0%,70,66.4%,86,96.1%,487,78.6%,100.0%,460,78.6%,100.0%,463,78.6%,,0.8%,100.0%,,0.8%,100.0%,,0.8%,,0.8%,34,19.1%,40,39.7%,100.0%,72,12.2%,100.0%,53,12.2%,100.0%,63.6%,85.0%,22.7%,20.0%,27.3%,40.0%,4.5%,20.0%,4.5%,5.0%,4.5%,0.0%,0.0%,0.0%,0.0%,0.0%,62.6%,70.0%,89.3%,100.0%,64.9%,77.5%,85.5%,80.0%,55.7%,49.6%,14.5%,0.0%,0.0%,0.0%,0.0%,22.9%,0.0%
28Q440,Forest Hills High School,71,80.5%,17.5%,76,84.7%,42.3%,73,73.3%,41.1%,79,89.2%,70.6%,83,90.4%,76,79.7%,70,69.8%,72,70.3%,66,61.2%,77,82.9%,91,98.6%,517,72.8%,100.0%,485,72.8%,100.0%,483,72.8%,23,13.9%,100.0%,21,13.9%,100.0%,22,12.3%,22,13.9%,35,15.9%,36,23.8%,100.0%,71,12.3%,100.0%,53,12.1%,100.0%,71.7%,81.2%,16.2%,21.5%,28.8%,28.3%,9.4%,9.6%,12.2%,14.4%,3.6%,5.6%,0.0%,0.0%,0.0%,0.0%,56.1%,55.3%,84.9%,87.1%,60.2%,58.5%,77.6%,78.6%,61.9%,50.6%,31.0%,0.0%,0.0%,1.0%,0.0%,21.4%,0.0%
28Q505,Hillcrest High School,65,56.8%,6.8%,64,54.9%,10.3%,59,36.2%,12.7%,71,77.4%,47.9%,75,79.8%,68,64.6%,61,38.1%,56,27.5%,67,63.5%,67,62.9%,90,98.3%,448,51.8%,100.0%,432,51.8%,100.0%,426,51.8%,21,4.8%,100.0%,19,4.8%,100.0%,22,2.7%,20,4.8%,35,29.3%,32,36.9%,100.0%,69,15.6%,100.0%,53,15.8%,100.0%,63.2%,67.7%,24.6%,26.3%,27.1%,25.8%,4.2%,4.8%,3.9%,4.7%,1.1%,3.5%,0.0%,0.0%,0.0%,0.0%,31.5%,28.5%,72.4%,77.1%,33.1%,32.0%,64.8%,62.2%,55.6%,22.4%,6.9%,0.0%,0.4%,2.7%,3.0%,49.3%,0.3%
28Q620,Thomas A. Edison Career and Technical Education Hi,69,75.9%,9.5%,76,90.1%,32.9%,78,85.7%,50.6%,80,94.8%,81.0%,86,95.2%,73,79.4%,71,79.8%,75,82.8%,74,84.9%,81,90.0%,85,100.0%,514,80.0%,100.0%,473,80.0%,100.0%,470,80.0%,24,6.8%,100.0%,20,6.8%,100.0%,21,6.1%,21,6.8%,46,14.5%,35,20.9%,100.0%,76,9.4%,100.0%,56,9.6%,100.0%,68.9%,74.4%,17.9%,20.7%,28.9%,34.3%,7.2%,6.8%,10.3%,8.7%,2.6%,2.4%,0.0%,0.0%,0.0%,0.0%,62.8%,48.2%,87.3%,83.1%,64.4%,50.3%,81.2%,72.0%,88.3%,54.4%,15.3%,0.0%,74.4%,80.0%,0.0%,37.8%,11.9%
28Q680,Queens Gateway to Health Sciences Secondary School,62,50.0%,0.0%,75,85.0%,44.9%,63,47.7%,13.3%,88,93.9%,90.0%,91,98.3%,84,91.1%,71,79.3%,67,62.9%,79,88.5%,83,98.9%,84,93.4%,524,92.5%,100.0%,511,92.5%,100.0%,514,92.5%,23,16.5%,100.0%,22,16.5%,100.0%,23,15.8%,22,16.5%,,6.8%,44,13.5%,100.0%,,0.8%,100.0%,,0.8%,100.0%,90.2%,97.7%,11.5%,11.7%,36.9%,40.6%,13.1%,12.5%,12.3%,16.4%,13.1%,13.3%,0.0%,0.0%,0.0%,0.0%,84.2%,75.0%,97.7%,98.4%,86.5%,75.0%,98.5%,98.4%,88.7%,85.7%,26.3%,0.0%,0.0%,0.0%,0.0%,27.8%,0.0%
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,72,87.3%,17.0%,69,70.0%,21.1%,58,38.3%,11.4%,76,87.3%,61.5%,83,91.1%,73,76.1%,65,46.3%,,,74,80.1%,78,91.2%,87,96.4%,460,76.4%,100.0%,448,76.4%,100.0%,449,76.4%,21,10.1%,100.0%,18,10.1%,100.0%,19,7.4%,20,10.1%,39,30.6%,35,41.5%,100.0%,74,22.9%,100.0%,55,22.9%,100.0%,73.9%,,27.5%,,25.3%,,8.9%,,10.8%,,1.4%,,0.0%,,0.0%,,46.5%,,89.1%,,50.0%,,79.5%,,52.7%,27.1%,15.5%,0.0%,0.0%,0.4%,0.0%,31.8%,0.0%
28Q687,Queens High School for the Sciences at York Colleg,,,,88,99.1%,81.1%,91,97.1%,86.9%,,,,92,100.0%,95,100.0%,83,98.5%,88,99.1%,,,93,100.0%,91,99.1%,701,97.9%,100.0%,621,97.9%,100.0%,625,97.9%,31,54.6%,100.0%,28,54.6%,100.0%,29,39.2%,28,54.6%,,0.0%,,0.0%,0.0%,,1.0%,100.0%,,1.0%,0.0%,94.0%,92.9%,1.0%,3.1%,30.0%,29.6%,24.0%,17.3%,21.0%,27.6%,15.0%,14.3%,0.0%,0.0%,0.0%,0.0%,96.9%,100.0%,97.9%,100.0%,100.0%,100.0%,99.0%,100.0%,99.0%,99.0%,87.6%,0.0%,0.0%,0.0%,0.0%,34.0%,0.0%
28Q690,High School for Law Enforcement and Public Safety,62,46.3%,3.7%,60,29.5%,6.6%,47,17.1%,2.4%,74,85.5%,53.9%,75,75.4%,61,44.9%,53,18.5%,,,60,45.2%,63,52.9%,88,100.0%,410,56.6%,100.0%,431,56.6%,100.0%,409,56.6%,,2.2%,0.0%,,2.2%,100.0%,,1.5%,,2.2%,36,23.5%,26,25.7%,100.0%,69,11.0%,100.0%,52,11.0%,100.0%,46.7%,63.2%,23.3%,25.6%,10.0%,14.4%,4.4%,8.8%,4.4%,8.0%,3.3%,5.6%,0.0%,0.0%,0.0%,0.0%,16.9%,12.0%,68.4%,75.2%,18.4%,13.6%,57.4%,48.8%,28.7%,8.8%,8.1%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%
28Q896,"Young Women's Leadership School, Queens",67,66.8%,9.2%,62,39.6%,10.4%,49,19.6%,3.9%,81,90.9%,74.0%,80,85.9%,73,73.9%,58,20.0%,,,60,39.3%,71,71.8%,91,100.0%,415,90.4%,100.0%,420,90.4%,100.0%,433,90.4%,,11.0%,100.0%,,11.0%,100.0%,,11.0%,,11.0%,29,38.4%,31,49.3%,100.0%,71,26.0%,100.0%,56,26.0%,100.0%,68.7%,85.1%,3.0%,4.3%,23.9%,40.4%,14.9%,14.9%,20.9%,23.4%,6.0%,2.1%,0.0%,0.0%,0.0%,0.0%,35.6%,38.3%,82.2%,93.6%,35.6%,40.4%,74.0%,78.7%,26.0%,24.7%,6.8%,0.0%,0.0%,0.0%,0.0%,13.7%,0.0%
29Q243,Institute for Health Professions at Cambria Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
